stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,destroyed_passengers,removed_aircraft_time_minutes,repair_variants,repaired_routes,repair_candidates_considered,repair_candidates_selected,repair_exact_candidate_builds,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
2,128,57,492.733584,related_routes,6,111,983,209,6,219,219,6,1,0,0,14739,14738,122389,121643,89,89,0.0008579439252617066
2,129,58,493.138153,related_routes,5,95,774,77,5,81,81,0,1,0,0,14739,14738,122389,121643,89,89,0.0008450747663827809
2,130,59,494.140991,worst_time_per_person,5,86,1129,375,5,435,435,36,1,0,0,14739,14738,122389,121643,89,89,0.0008323986448870392
2,131,60,497.482653,random_routes,6,113,968,389,6,441,441,117,1,0,0,14739,14738,122389,121643,89,89,0.0008199126652137336
2,132,61,497.942571,related_routes,6,99,700,144,6,144,144,18,1,0,0,14739,14738,122389,121643,89,89,0.0008076139752355276
2,133,62,504.706342,low_utilization,6,103,1013,697,6,723,723,144,1,0,0,14739,14738,122389,121643,89,89,0.0007954997656069948
2,134,63,508.54505,related_routes,6,105,1351,195,6,225,225,0,1,1,1,14737,14737,122447,122447,89,89,0.0007835672691228899
2,135,64,508.955216,related_routes,5,92,1006,144,5,144,144,36,1,0,0,14737,14737,122447,122447,89,89,0.0007718137600860465
2,136,65,510.584369,related_routes,5,86,1083,132,5,144,144,0,1,0,0,14737,14737,122447,122447,89,89,0.0007602365536847558
2,137,66,511.22445,low_utilization,5,80,790,427,5,435,435,18,1,0,0,14737,14737,122447,122447,89,89,0.0007488330053794845
2,138,67,516.23855,related_routes,5,91,981,144,5,144,144,0,0,0,0,14737,14737,122447,122447,89,89,0.0007376005102987922
2,139,68,519.958198,related_routes,6,104,811,219,6,219,219,144,1,0,0,14737,14737,122447,122447,89,89,0.0007265365026443104
2,140,69,523.498478,land_reassignment,5,94,758,225,5,225,225,36,1,0,0,14737,14737,122447,122447,89,89,0.0007156384551046457
2,141,70,533.317368,random_routes,5,92,941,643,5,705,705,342,1,0,0,14737,14737,122447,122447,89,89,0.000704903878278076
2,142,71,539.565822,random_routes,6,113,965,433,6,435,435,252,1,0,0,14737,14737,122447,122447,89,89,0.0006943303201039049
2,143,72,540.327086,related_routes,5,89,953,318,5,318,318,0,1,1,1,14737,14737,121896,121896,89,89,0.0006839153653023463
2,144,73,542.703895,random_routes,5,92,728,319,5,324,324,108,1,0,0,14737,14737,121896,121896,89,89,0.0006736566348228111
2,145,74,544.860424,land_reassignment,5,94,758,225,5,225,225,0,1,0,0,14737,14737,121896,121896,89,89,0.0006635517853004689
2,146,75,546.471577,worst_time_per_person,5,83,1063,528,5,570,570,36,1,0,0,14737,14737,121896,121896,89,89,0.0006535985085209619
2,147,76,552.573943,low_utilization,6,101,1058,1029,6,1047,1047,246,1,0,0,14737,14737,121896,121896,89,89,0.0006437945308931474
2,148,77,553.103599,low_utilization,5,91,987,635,5,711,711,18,1,0,0,14737,14737,121896,121896,89,89,0.0006341376129297503
2,149,78,553.681683,worst_time_per_person,5,82,1052,534,5,570,570,0,1,0,0,14737,14737,121896,121896,89,89,0.0006246255487358039
2,150,79,554.669218,related_routes,5,86,1133,195,5,225,225,0,1,0,0,14737,14737,121896,121896,89,89,0.0006152561655047669
2,151,80,554.8673,related_routes,5,92,794,320,5,324,324,72,1,0,0,14737,14737,121896,121896,89,89,0.0006060273230221954
2,152,81,559.890512,related_routes,6,109,1145,225,6,225,225,0,1,0,0,14738,14737,121461,121896,89,89,0.0005969369131768625
2,153,82,564.195777,land_reassignment,6,113,918,324,6,324,324,36,1,0,0,14738,14737,121461,121896,89,89,0.0005879828594792096
2,154,83,567.911878,random_routes,5,92,810,205,5,225,225,144,1,0,0,14738,14737,121461,121896,89,89,0.0005791631165870214
2,155,84,568.077759,related_routes,6,111,950,320,6,324,324,0,1,0,0,14738,14737,121461,121896,89,89,0.0005704756698382161
2,156,85,577.712429,random_routes,6,110,1009,431,6,441,441,315,1,0,0,14738,14737,121461,121896,89,89,0.0005619185347906429
2,157,86,578.502345,related_routes,5,87,860,144,5,144,144,0,1,0,0,14738,14737,121461,121896,89,89,0.0005534897567687833
2,158,87,580.666085,worst_time_per_person,6,104,1340,786,6,876,876,108,1,1,1,14737,14737,121461,121461,89,89,0.0005451874104172515
2,159,88,582.228714,worst_time_per_person,6,104,1359,538,6,576,576,0,1,0,0,14737,14737,121461,121461,89,89,0.0005370095992609928
2,160,89,582.989094,related_routes,5,82,615,81,5,81,81,0,1,0,0,14737,14737,121461,121461,89,89,0.0005289544552720778
2,161,90,588.008581,related_routes,6,109,1145,225,6,225,225,0,0,0,0,14737,14737,121461,121461,89,89,0.0005210201384429966
2,162,91,594.018789,random_routes,5,89,788,419,5,441,441,198,1,0,0,14737,14737,121461,121461,89,89,0.0005132048363663517
2,163,92,594.407538,related_routes,5,85,641,144,5,144,144,0,1,0,0,14737,14737,121461,121461,89,89,0.0005055067638208564
2,164,93,598.458739,related_routes,6,105,1196,225,6,225,225,72,1,0,0,14738,14737,120449,121461,89,89,0.0004979241623635435
2,165,94,601.133433,worst_time_per_person,5,83,1094,211,5,225,225,0,1,0,0,14738,14737,120449,121461,89,89,0.0004904552999280903
2,166,95,601.679814,worst_time_per_person,5,86,1117,508,5,570,570,18,1,0,0,14738,14737,120449,121461,89,89,0.00048309847042916893
2,167,96,604.919018,low_utilization,5,87,884,665,5,723,723,72,1,0,0,14738,14737,120449,121461,89,89,0.0004758519933727314
