left,right,distance,consensus,airport,fuel,capacity,left_demand,right_demand,separate_seats,combined_seats,saved_seats,combined_utilization
F013,F022,0.33886792452830183,0.242949657316875,0.15094339622641506,0.09320754716981128,0.14735849056603773,31,46,78,78,0,0.9871794871794872
F013,F023,0.11509433962264148,0.0,0.45358490566037735,0.9139622641509434,0.6722641509433962,31,25,59,56,3,1.0
F013,F024,0.24792452830188683,0.080983219105625,0.1822641509433962,0.12943396226415094,0.5615094339622642,31,29,62,60,2,1.0
F013,F025,0.19056603773584901,0.0,0.13962264150943393,0.20226415094339623,0.5615094339622642,31,26,59,57,2,1.0
F013,F026,0.38792452830188684,0.242949657316875,0.18716981132075472,0.3886792452830189,0.5615094339622642,31,33,66,64,2,1.0
F013,F027,0.250188679245283,0.080983219105625,0.1264150943396226,0.016981132075471694,0.34641509433962264,31,35,66,66,0,1.0
F013,F028,0.6147169811320754,0.546570044746234,0.2724528301886793,0.7256603773584906,0.34641509433962264,31,28,59,59,0,1.0
F013,F029,0.22075471698113203,0.080983219105625,0.16943396226415097,0.20226415094339623,0.34641509433962264,31,24,55,55,0,1.0
F013,F030,0.46188679245283015,0.32148366584147414,0.09584905660377363,0.0252830188679245,0.5615094339622642,31,26,59,57,2,1.0
F013,F031,0.12339622641509429,0.0,0.2584905660377359,0.459622641509434,0.5615094339622642,31,29,62,60,2,1.0
F013,F032,0.11735849056603775,0.0,0.5984905660377359,0.9139622641509434,0.11716981132075471,31,30,62,62,0,0.9838709677419355
F013,F033,0.3173584905660377,0.242949657316875,0.2513207547169811,0.459622641509434,0.34641509433962264,31,31,62,62,0,1.0
F013,F034,0.25283018867924534,0.242949657316875,0.3479245283018868,0.9139622641509434,0.4420754716981132,31,37,69,68,1,1.0
F013,F035,0.1656603773584906,0.0,0.3932075471698113,0.9139622641509434,0.6722641509433962,31,21,55,52,3,1.0
F013,F036,0.1569811320754717,0.0,0.16641509433962265,0.20226415094339623,0.4420754716981132,31,42,74,73,1,1.0
F013,F037,0.0022641509433962703,0.0,0.3162264150943396,0.8350943396226416,0.34641509433962264,31,28,59,59,0,1.0
F013,F038,0.04301886792452825,0.0,0.42000000000000004,0.6988679245283018,0.34641509433962264,31,31,62,62,0,1.0
F013,F039,0.06566037735849062,0.0,0.19547169811320753,0.3007547169811321,0.13622641509433964,31,34,66,66,0,0.9848484848484849
F013,F040,0.0067924528301887,0.0,0.37056603773584906,0.9030188679245283,0.09433962264150947,31,27,59,59,0,0.9830508474576272
F013,F041,0.02301886792452834,0.0,0.459622641509434,0.9030188679245283,0.6722641509433962,31,21,55,52,3,1.0
F013,F042,0.0030188679245283234,0.0,0.2750943396226415,0.9030188679245283,0.5615094339622642,31,26,59,57,2,1.0
