left,right,consensus
F021,F036,0.8643391615585597
F021,F037,0.16196643821125
F021,F038,0.4031300089200943
F021,F039,0.4031300089200943
F021,F040,0.16196643821125
F021,F041,0.3239328764225
F021,F042,0.16196643821125
F021,F043,0.3239328764225
F021,F044,0.3239328764225
F021,F045,0.3239328764225
F021,F046,0.4031300089200943
F021,F047,0.4031300089200943
F021,F048,0.4031300089200943
F021,F049,0.4031300089200943
F021,F050,0.16196643821125
F021,F051,0.3239328764225
F021,F052,0.4031300089200943
F022,F023,0.07853400852459914
F022,F024,0.23871436012781846
F022,F025,0.07853400852459914
F022,F026,1.0
F022,F027,0.23871436012781846
F022,F028,0.4807360643988245
F022,F029,0.23871436012781846
F022,F030,0.7765772544434841
F022,F031,0.07853400852459914
F022,F032,0.07853400852459914
F022,F033,0.7937898582911843
F022,F034,0.7128066391855593
F022,F035,0.07853400852459914
F022,F036,0.07853400852459914
F022,F037,0.0
F022,F038,0.0
F022,F039,0.0
F022,F040,0.0
F022,F041,0.0
F022,F042,0.0
F022,F043,0.0
F022,F044,0.0
F022,F045,0.0
F022,F046,0.0
F022,F047,0.0
F022,F048,0.0
F022,F049,0.0
F022,F050,0.0
F022,F051,0.0
F022,F052,0.0
F023,F024,0.633609506687965
F023,F025,0.7937898582911843
F023,F026,0.07853400852459914
F023,F027,0.633609506687965
F023,F028,0.0
F023,F029,0.633609506687965
F023,F030,0.0
F023,F031,1.0
F023,F032,1.0
F023,F033,0.07853400852459914
F023,F034,0.15951722763022413
F023,F035,1.0
F023,F036,0.9294506967326246
F023,F037,0.16196643821125
F023,F038,0.4031300089200943
F023,F039,0.4031300089200943
F023,F040,0.16196643821125
F023,F041,0.3239328764225
F023,F042,0.16196643821125
F023,F043,0.3239328764225
F023,F044,0.3239328764225
F023,F045,0.3239328764225
F023,F046,0.5387908473615347
F023,F047,0.5387908473615347
F023,F048,0.4031300089200943
F023,F049,0.5387908473615347
F023,F050,0.16196643821125
F023,F051,0.3239328764225
F023,F052,0.4031300089200943
F024,F025,0.8398196483967807
F024,F026,0.23871436012781846
F024,F027,1.0
F024,F028,0.080983219105625
F024,F029,1.0
F024,F030,0.16018035160321933
F024,F031,0.633609506687965
F024,F032,0.633609506687965
F024,F033,0.3743751985692588
F024,F034,0.45535841767488383
F024,F035,0.633609506687965
F024,F036,0.7041588099553404
F024,F037,0.080983219105625
F024,F038,0.242949657316875
F024,F039,0.242949657316875
F024,F040,0.080983219105625
F024,F041,0.242949657316875
F024,F042,0.080983219105625
F024,F043,0.242949657316875
F024,F044,0.242949657316875
F024,F045,0.242949657316875
F024,F046,0.242949657316875
F024,F047,0.242949657316875
F024,F048,0.242949657316875
F024,F049,0.242949657316875
F024,F050,0.080983219105625
F024,F051,0.242949657316875
F024,F052,0.242949657316875
F025,F026,0.07853400852459914
F025,F027,0.8398196483967807
F025,F028,0.0
F025,F029,0.8398196483967807
F025,F030,0.0
F025,F031,0.7937898582911843
F025,F032,0.7937898582911843
F025,F033,0.21419484696603946
F025,F034,0.29517806607166447
F025,F035,0.7937898582911843
F025,F036,0.8643391615585597
F025,F037,0.16196643821125
F025,F038,0.4031300089200943
F025,F039,0.4031300089200943
F025,F040,0.16196643821125
F025,F041,0.3239328764225
F025,F042,0.16196643821125
F025,F043,0.3239328764225
F025,F044,0.3239328764225
F025,F045,0.3239328764225
F025,F046,0.4031300089200943
F025,F047,0.4031300089200943
F025,F048,0.4031300089200943
F025,F049,0.4031300089200943
F025,F050,0.16196643821125
F025,F051,0.3239328764225
F025,F052,0.4031300089200943
F026,F027,0.23871436012781846
F026,F028,0.4807360643988245
F026,F029,0.23871436012781846
F026,F030,0.7765772544434841
F026,F031,0.07853400852459914
F026,F032,0.07853400852459914
F026,F033,0.7937898582911843
F026,F034,0.7128066391855593
F026,F035,0.07853400852459914
F026,F036,0.07853400852459914
F026,F037,0.0
F026,F038,0.0
F026,F039,0.0
F026,F040,0.0
F026,F041,0.0
F026,F042,0.0
F026,F043,0.0
F026,F044,0.0
F026,F045,0.0
F026,F046,0.0
F026,F047,0.0
F026,F048,0.0
F026,F049,0.0
F026,F050,0.0
F026,F051,0.0
F026,F052,0.0
F027,F028,0.080983219105625
F027,F029,1.0
F027,F030,0.16018035160321933
F027,F031,0.633609506687965
F027,F032,0.633609506687965
F027,F033,0.3743751985692588
F027,F034,0.45535841767488383
F027,F035,0.633609506687965
F027,F036,0.7041588099553404
F027,F037,0.080983219105625
F027,F038,0.242949657316875
F027,F039,0.242949657316875
F027,F040,0.080983219105625
F027,F041,0.242949657316875
F027,F042,0.080983219105625
F027,F043,0.242949657316875
F027,F044,0.242949657316875
F027,F045,0.242949657316875
F027,F046,0.242949657316875
F027,F047,0.242949657316875
F027,F048,0.242949657316875
F027,F049,0.242949657316875
F027,F050,0.080983219105625
F027,F051,0.242949657316875
F027,F052,0.242949657316875
F028,F029,0.080983219105625
F028,F030,0.633609506687965
F028,F031,0.0
F028,F032,0.0
F028,F033,0.4807360643988245
F028,F034,0.4807360643988245
F028,F035,0.0
F028,F036,0.0
F028,F037,0.0
F028,F038,0.0
F028,F039,0.0
F028,F040,0.0
F028,F041,0.0
F028,F042,0.0
F028,F043,0.0
F028,F044,0.0
F028,F045,0.0
F028,F046,0.0
F028,F047,0.0
F028,F048,0.0
F028,F049,0.0
F028,F050,0.0
F028,F051,0.0
F028,F052,0.0
F029,F030,0.16018035160321933
F029,F031,0.633609506687965
F029,F032,0.633609506687965
F029,F033,0.3743751985692588
F029,F034,0.45535841767488383
F029,F035,0.633609506687965
F029,F036,0.7041588099553404
F029,F037,0.080983219105625
F029,F038,0.242949657316875
F029,F039,0.242949657316875
F029,F040,0.080983219105625
F029,F041,0.242949657316875
F029,F042,0.080983219105625
