feature,importance,kind
numeric__feature_current_mean_residual_slack,0.0,ranker_gain
numeric__feature_incumbent_sequence,0.0,ranker_gain
numeric__feature_ejection_coverage,0.0,ranker_gain
numeric__feature_local_supported_demand,0.0,ranker_gain
numeric__feature_current_route_count,0.0,ranker_gain
numeric__search_destroy_size,0.0,ranker_gain
numeric__search_cross_exchange_flag,0.0,ranker_gain
numeric__search_current_objective,0.0,ranker_gain
numeric__search_relink_flag,0.0,ranker_gain
numeric__search_warm_start_objective,0.0,ranker_gain
numeric__rank_score_geometry,0.0,ranker_gain
numeric__search_stagnation_length,0.0,ranker_gain
numeric__search_warm_start_flights,0.0,ranker_gain
numeric__seen_in_previous_run,0.0,ranker_gain
numeric__structural_novelty,0.0,ranker_gain
numeric__missingindicator_feature_incumbent_sequence,0.0,ranker_gain
numeric__missingindicator_feature_local_supported_demand,0.0,ranker_gain
categorical__candidate_source_EXPLORATION_RANDOM,0.0,ranker_gain
categorical__candidate_source_GEOMETRY_LOW,0.0,ranker_gain
categorical__candidate_source_GEOMETRY_MID,0.0,ranker_gain
categorical__candidate_source_GEOMETRY_TOP,0.0,ranker_gain
categorical__candidate_source_INCUMBENT,0.0,ranker_gain
categorical__geometry_rank_bin_incumbent,0.0,ranker_gain
categorical__geometry_rank_bin_low,0.0,ranker_gain
categorical__geometry_rank_bin_mid,0.0,ranker_gain
categorical__geometry_rank_bin_top,0.0,ranker_gain
categorical__context_rank_bin_low,0.0,ranker_gain
categorical__context_rank_bin_mid,0.0,ranker_gain
categorical__context_rank_bin_top,0.0,ranker_gain
categorical__context_rank_bin_unavailable,0.0,ranker_gain
categorical__destroy_operator_high_cost_route,0.0,ranker_gain
categorical__destroy_operator_land_heavy_route,0.0,ranker_gain
categorical__destroy_operator_low_utilization_route,0.0,ranker_gain
categorical__destroy_operator_shared_facility_flow,0.0,ranker_gain
categorical__portfolio_source_exploration,0.0,ranker_gain
categorical__portfolio_source_geometry,0.0,ranker_gain
categorical__portfolio_source_incumbent,0.0,ranker_gain
categorical__search_destroy_operator_high_cost_route,0.0,ranker_gain
categorical__search_destroy_operator_land_heavy_route,0.0,ranker_gain
categorical__search_destroy_operator_low_utilization_route,0.0,ranker_gain
categorical__search_destroy_operator_shared_facility_flow,0.0,ranker_gain
categorical__search_restart_type_independent_elite,0.0,ranker_gain
categorical__search_restart_type_lineage_resume,0.0,ranker_gain
categorical__search_run_purpose_ml_exploration,0.0,ranker_gain
categorical__search_targeted_trigger___MISSING__,0.0,ranker_gain
"categorical__feature_current_aircraft_types_[""T1"",""T2"",""T3""]",0.0,ranker_gain
"categorical__feature_current_aircraft_types_[""T1"",""T2""]",0.0,ranker_gain
"categorical__feature_current_aircraft_types_[""T1"",""T3""]",0.0,ranker_gain
"categorical__feature_current_aircraft_types_[""T2"",""T3""]",0.0,ranker_gain
"categorical__feature_current_aircraft_types_[""T2""]",0.0,ranker_gain
"categorical__feature_current_aircraft_types_[""T3""]",0.0,ranker_gain
"categorical__feature_current_base_airports_[""A01"",""A02"",""A03""]",0.0,ranker_gain
"categorical__feature_current_base_airports_[""A01"",""A02""]",0.0,ranker_gain
"categorical__feature_current_base_airports_[""A01""]",0.0,ranker_gain
"categorical__feature_current_base_airports_[""A02"",""A03""]",0.0,ranker_gain
"categorical__feature_current_base_airports_[""A02""]",0.0,ranker_gain
"categorical__feature_current_base_airports_[""A03""]",0.0,ranker_gain
