stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
2,140,11,185.119413,worst_time_per_person,4,1,0,0,15334,15334,122338,122338,94,94,0.0017194608845182862
2,141,12,186.28557,worst_time_per_person,4,1,0,0,15334,15334,122338,122338,94,94,0.0016936689712505118
2,142,13,186.897681,low_utilization,3,1,0,0,15334,15334,122338,122338,94,94,0.0016682639366817542
2,143,14,196.965818,random_routes,4,0,0,0,15334,15334,122338,122338,94,94,0.001643239977631528
2,144,15,200.178844,random_routes,4,1,0,0,15334,15334,122338,122338,94,94,0.001618591377967055
2,145,16,201.654643,random_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.001594312507297549
2,146,17,201.675872,related_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.001570397819688086
2,147,18,203.591799,random_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.0015468418523927646
2,148,19,203.854815,land_reassignment,3,1,0,0,15334,15334,122338,122338,94,94,0.001523639224606873
2,149,20,204.284816,low_utilization,3,1,0,0,15334,15334,122338,122338,94,94,0.00150078463623777
2,150,21,205.081082,low_utilization,3,1,0,0,15334,15334,122338,122338,94,94,0.0014782728666942035
2,151,22,209.090249,low_utilization,4,1,0,0,15334,15334,122338,122338,94,94,0.0014560987736937903
2,152,23,216.130799,random_routes,4,1,0,0,15334,15334,122338,122338,94,94,0.0014342572920883834
2,153,24,217.5666,low_utilization,4,1,0,0,15334,15334,122338,122338,94,94,0.0014127434327070576
2,154,25,218.16252,land_reassignment,3,1,0,0,15334,15334,122338,122338,94,94,0.0013915522812164517
2,155,26,218.490829,related_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.0013706789969982049
2,156,27,219.13118,low_utilization,3,1,0,0,15334,15334,122338,122338,94,94,0.0013501188120432317
2,157,28,219.734948,related_routes,4,1,0,0,15334,15334,122338,122338,94,94,0.001329867029862583
2,158,29,220.573256,random_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.0013099190244146442
2,159,30,220.584629,land_reassignment,3,1,0,0,15334,15334,122338,122338,94,94,0.0012902702390484245
2,160,31,226.619512,related_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.0012709161854626981
2,161,32,230.445933,related_routes,4,1,0,0,15334,15334,122338,122338,94,94,0.0012518524426807576
2,162,33,232.264619,related_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.0012330746560405463
2,163,34,235.813952,random_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.0012145785361999382
2,164,35,235.842442,land_reassignment,3,1,0,0,15334,15334,122338,122338,94,94,0.001196359858156939
2,165,36,238.752878,random_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.001178414460284585
2,166,37,245.2581,random_routes,4,1,0,0,15334,15334,122338,122338,94,94,0.0011607382433803163
2,167,38,246.496919,random_routes,3,1,0,0,15334,15334,122338,122338,94,94,0.0011433271697296114
2,168,39,247.65583,related_routes,4,1,1,1,15331,15331,122410,122410,94,94,0.0011261772621836673
2,169,40,247.750283,low_utilization,3,1,0,0,15331,15331,122410,122410,94,94,0.0011092846032509122
2,170,41,250.001691,low_utilization,4,1,0,0,15331,15331,122410,122410,94,94,0.0010926453342021485
2,171,42,251.858802,land_reassignment,4,1,0,0,15331,15331,122410,122410,94,94,0.0010762556541891162
2,172,43,252.13632,land_reassignment,3,1,0,0,15331,15331,122410,122410,94,94,0.0010601118193762794
2,173,44,253.428566,related_routes,4,1,0,0,15331,15331,122410,122410,94,94,0.0010442101420856352
2,174,45,253.442231,related_routes,4,1,0,0,15331,15331,122410,122410,94,94,0.0010285469899543507
2,175,46,257.412764,related_routes,4,1,0,0,15331,15331,122410,122410,94,94,0.0010131187851050354
2,176,47,257.426975,land_reassignment,4,1,0,0,15331,15331,122410,122410,94,94,0.0009979220033284597
2,177,48,258.438352,random_routes,3,1,0,0,15331,15331,122410,122410,94,94,0.0009829531732785328
2,178,49,258.467719,land_reassignment,3,1,0,0,15331,15331,122410,122410,94,94,0.0009682088756793548
2,179,50,258.482267,related_routes,3,1,0,0,15331,15331,122410,122410,94,94,0.0009536857425441644
2,180,51,258.499657,random_routes,3,1,0,0,15331,15331,122410,122410,94,94,0.0009393804564060019
2,181,52,258.514103,related_routes,3,1,0,0,15331,15331,122410,122410,94,94,0.0009252897495599119
2,182,53,260.357139,random_routes,3,1,0,0,15331,15331,122410,122410,94,94,0.0009114104033165132
2,183,54,265.379547,worst_time_per_person,4,1,0,0,15342,15331,123287,122410,94,94,0.0008977392472667655
2,184,55,270.348275,random_routes,4,1,0,0,15342,15331,123287,122410,94,94,0.000884273158557764
2,185,56,274.124606,related_routes,4,1,1,1,15323,15323,123000,123000,94,94,0.0008710090611793975
2,186,57,276.833488,worst_time_per_person,3,0,0,0,15323,15323,123000,123000,94,94,0.0008579439252617066
2,187,58,278.941554,random_routes,3,1,0,0,15323,15323,123000,123000,94,94,0.0008450747663827809
2,188,59,281.518441,low_utilization,4,1,0,0,15323,15323,123000,123000,94,94,0.0008323986448870392
2,189,60,284.808825,random_routes,4,1,1,1,15323,15323,122612,122612,94,94,0.0008199126652137336
2,190,61,286.316107,related_routes,3,1,0,0,15323,15323,122612,122612,94,94,0.0008076139752355276
