wall_time,stage1_ub,stage2_optional,stage2_time,global_valid_lb,restricted_lp,gap_percent,elite_pool_size,route_count,column_count
666.363742,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
666.882214,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
671.58615,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
675.777617,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
679.866202,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
683.997664,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
689.357456,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
694.66317,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
700.01771,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
705.347546,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
709.770449,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
714.398375,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
719.463776,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
724.819143,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
729.119378,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
731.972555,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
739.832961,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
745.882963,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
753.33178,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
761.130774,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
766.822342,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
774.422056,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
782.31382,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
789.814837,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
792.40434,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
800.056737,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
806.257721,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
814.13557,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
820.395377,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
820.868391,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
821.390439,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
827.616229,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
833.70666,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
839.887363,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
845.505051,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
851.30317,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
852.507074,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
861.998908,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
872.963847,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
883.843637,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
894.871415,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
895.336636,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
906.180302,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
906.649793,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
912.620639,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
913.247048,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
923.485994,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
934.392243,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
945.156815,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
955.94106,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
964.908452,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
972.723461,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
975.997473,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
979.709889,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
986.113944,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
989.138104,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
997.422012,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1005.773892,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1008.420378,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1010.63157,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1012.852374,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1020.930123,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1028.989557,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1037.1107,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1040.266942,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1042.800019,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1045.881697,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1052.442251,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1052.957165,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1055.047328,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1058.013094,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1066.129204,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1074.178221,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1077.954776,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1081.744911,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1082.26894,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1085.900831,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1093.95988,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1097.593832,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1103.074452,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1108.599038,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1114.024738,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1119.424644,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1124.743451,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1130.015064,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1135.058006,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1140.480528,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1146.894636,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1152.367743,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1157.803151,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1158.428412,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1163.732225,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1169.125857,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1174.480021,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1179.829878,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1180.341128,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1186.693268,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1191.787847,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1197.434207,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1206.678206,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
1211.270032,28868,157,28868,14125,15197.677631578943,51.070389358459195,5,3116,179
