method,k,facility,cluster,medoid,distance_to_medoid_km
average,4,F032,2,F047,53.0
average,4,F033,0,F018,49.0
average,4,F034,0,F018,80.0
average,4,F035,2,F047,66.0
average,4,F036,2,F047,42.0
average,4,F037,3,F042,18.0
average,4,F038,2,F047,68.0
average,4,F039,2,F047,55.0
average,4,F040,3,F042,28.0
average,4,F041,2,F047,111.0
average,4,F042,3,F042,0.0
average,4,F043,2,F047,115.0
average,4,F044,2,F047,136.0
average,4,F045,2,F047,96.0
average,4,F046,2,F047,15.0
average,4,F047,2,F047,0.0
average,4,F048,2,F047,51.0
average,4,F049,2,F047,19.0
average,4,F050,3,F042,40.0
average,4,F051,2,F047,80.0
average,4,F052,2,F047,33.0
average,5,F001,0,F018,34.0
average,5,F002,1,F006,43.0
average,5,F003,1,F006,45.0
average,5,F004,1,F006,40.0
average,5,F005,0,F018,17.0
average,5,F006,1,F006,0.0
average,5,F007,1,F006,14.0
average,5,F008,1,F006,41.0
average,5,F009,0,F018,73.0
average,5,F010,1,F006,27.0
average,5,F011,0,F018,71.0
average,5,F012,0,F018,19.0
average,5,F013,1,F006,46.0
average,5,F014,0,F018,52.0
average,5,F015,0,F018,41.0
average,5,F016,0,F018,17.0
average,5,F017,0,F018,43.0
average,5,F018,0,F018,0.0
average,5,F019,0,F018,44.0
average,5,F020,0,F018,36.0
average,5,F021,2,F021,0.0
average,5,F022,0,F018,31.0
average,5,F023,2,F021,60.0
average,5,F024,2,F021,32.0
average,5,F025,2,F021,17.0
average,5,F026,0,F018,14.0
average,5,F027,2,F021,37.0
average,5,F028,0,F018,65.0
average,5,F029,2,F021,17.0
average,5,F030,0,F018,46.0
average,5,F031,2,F021,44.0
average,5,F032,2,F021,66.0
average,5,F033,0,F018,49.0
average,5,F034,0,F018,80.0
average,5,F035,2,F021,41.0
average,5,F036,2,F021,26.0
average,5,F037,3,F042,18.0
average,5,F038,4,F038,0.0
average,5,F039,4,F038,42.0
average,5,F040,3,F042,28.0
average,5,F041,4,F038,44.0
average,5,F042,3,F042,0.0
average,5,F043,4,F038,51.0
average,5,F044,4,F038,71.0
average,5,F045,4,F038,31.0
average,5,F046,4,F038,67.0
average,5,F047,4,F038,68.0
average,5,F048,4,F038,17.0
average,5,F049,4,F038,51.0
average,5,F050,3,F042,40.0
average,5,F051,4,F038,17.0
average,5,F052,4,F038,37.0
average,6,F001,0,F018,34.0
average,6,F002,1,F006,43.0
average,6,F003,1,F006,45.0
average,6,F004,1,F006,40.0
average,6,F005,0,F018,17.0
average,6,F006,1,F006,0.0
average,6,F007,1,F006,14.0
average,6,F008,1,F006,41.0
average,6,F009,0,F018,73.0
average,6,F010,1,F006,27.0
average,6,F011,0,F018,71.0
average,6,F012,0,F018,19.0
average,6,F013,1,F006,46.0
average,6,F014,0,F018,52.0
average,6,F015,0,F018,41.0
average,6,F016,0,F018,17.0
average,6,F017,0,F018,43.0
average,6,F018,0,F018,0.0
average,6,F019,0,F018,44.0
average,6,F020,0,F018,36.0
average,6,F021,2,F021,0.0
average,6,F022,0,F018,31.0
average,6,F023,2,F021,60.0
average,6,F024,2,F021,32.0
average,6,F025,2,F021,17.0
average,6,F026,0,F018,14.0
average,6,F027,2,F021,37.0
average,6,F028,0,F018,65.0
average,6,F029,2,F021,17.0
average,6,F030,0,F018,46.0
average,6,F031,2,F021,44.0
average,6,F032,2,F021,66.0
average,6,F033,0,F018,49.0
average,6,F034,0,F018,80.0
average,6,F035,2,F021,41.0
average,6,F036,2,F021,26.0
average,6,F037,3,F042,18.0
average,6,F038,4,F051,17.0
average,6,F039,5,F049,36.0
average,6,F040,3,F042,28.0
average,6,F041,4,F051,36.0
average,6,F042,3,F042,0.0
average,6,F043,4,F051,35.0
average,6,F044,4,F051,56.0
average,6,F045,4,F051,32.0
average,6,F046,5,F049,17.0
average,6,F047,5,F049,19.0
average,6,F048,4,F051,33.0
average,6,F049,5,F049,0.0
average,6,F050,3,F042,40.0
average,6,F051,4,F051,0.0
average,6,F052,5,F049,22.0
average,7,F001,0,F026,20.0
average,7,F002,1,F006,43.0
average,7,F003,1,F006,45.0
average,7,F004,1,F006,40.0
average,7,F005,0,F026,31.0
average,7,F006,1,F006,0.0
average,7,F007,1,F006,14.0
average,7,F008,1,F006,41.0
average,7,F009,2,F015,38.0
average,7,F010,1,F006,27.0
average,7,F011,2,F015,31.0
average,7,F012,0,F026,27.0
average,7,F013,1,F006,46.0
average,7,F014,2,F015,27.0
average,7,F015,2,F015,0.0
average,7,F016,0,F026,24.0
average,7,F017,0,F026,53.0
average,7,F018,0,F026,14.0
average,7,F019,0,F026,32.0
average,7,F020,0,F026,37.0
average,7,F021,3,F021,0.0
average,7,F022,0,F026,23.0
average,7,F023,3,F021,60.0
average,7,F024,3,F021,32.0
average,7,F025,3,F021,17.0
average,7,F026,0,F026,0.0
average,7,F027,3,F021,37.0
average,7,F028,2,F015,32.0
average,7,F029,3,F021,17.0
average,7,F030,2,F015,35.0
average,7,F031,3,F021,44.0
average,7,F032,3,F021,66.0
average,7,F033,0,F026,35.0
